Tissue	Celltype	Subtype	CL_ID	CL term	Notes
Adrenal	Adipocyte	Adipocyte	CL:0000136	fat cell	
Adrenal	Capsule	Capsule	CL:0008019	mesenchymal cell	
Adrenal	Cortex	Cortex_ZF	CL:0002136	type II cell of adrenal cortex	Zona fasciculata
Adrenal	Cortex	Cortex_ZG	CL:0002099	type I cell of adrenal cortex	Zona glomerulosa
Adrenal	Endothelial	Endothelial	CL:0000115	endothelial cell	
Adrenal	Fibroblast	Fibroblast	CL:0000057	fibroblast	
Adrenal	Hepatocyte	Hepatocyte	CL:0000182	hepatocyte	
Adrenal	Immune	Macrophage	CL:0000235	macrophage	
Adrenal	Medulla	Medulla	CL:0000336	adrenal medulla chromaffin cell	
Adrenal	Skeletal_muscle	Skeletal_muscle	CL:0000188	cell of skeletal muscle	
Adrenal	Smooth_muscle	Smooth_muscle	CL:0000192	smooth muscle cell	
Adrenal	Stromal	Stromal	CL:0000499	stromal cell	
CortexHippocampus	Astrocyte	Astrocyte	CL:0000127	astrocyte	
CortexHippocampus	Endothelial	Endothelial	CL:0000115	endothelial cell	
CortexHippocampus	Ependymal	Ependymal	CL:0000065	ependymal cell	
CortexHippocampus	Epithelial	Epithelial	CL:0000066	epithelial cell	
CortexHippocampus	GABA	GABA	CL:0011005	GABAergic interneuron	
CortexHippocampus	GLUT	GLUT	CL:0000679	glutamatergic neuron	
CortexHippocampus	Microglia	Microglia	CL:0000129	microglial cell	
CortexHippocampus	Oligodendrocyte	Oligodendrocyte	CL:0000128	oligodendrocyte	
CortexHippocampus	OPC	OPC	CL:0002453	oligodendrocyte precursor cell	
CortexHippocampus	Pericyte	Pericyte	CL:2000043	brain pericyte	
CortexHippocampus	VLMC	VLMC	CL:4023051	vascular leptomeningeal cell	
Gastrocnemius	Adipocyte	Adipocyte	CL:0000136	fat cell	
Gastrocnemius	Endothelial	Endothelial	CL:0000115	endothelial cell	
Gastrocnemius	FAP	FAP	CL:0009099	fibro/adipogenic progenitor cell	
Gastrocnemius	Immune	Macrophage	CL:0000235	macrophage	
Gastrocnemius	Endothelial	Lymphatic_endothelial	CL:0002138	endothelial cell of lymphatic vessel	
Gastrocnemius	Myonuclei	MTJ	CL:0000188	cell of skeletal muscle	No specific CL ID
Gastrocnemius	Myonuclei	NMJ	CL:0000188	cell of skeletal muscle	No specific CL ID
Gastrocnemius	Myonuclei	Satellite	CL:0000594	skeletal muscle satellite cell	
Gastrocnemius	Schwann	Schwann	CL:0002573	Schwann cell	
Gastrocnemius	Smooth_muscle	Smooth_muscle	CL:0000192	smooth muscle cell	
Gastrocnemius	Tenocyte	Tenocyte	CL:0000388	tendon cell	
Gastrocnemius	Myonuclei	Type1_Myonuclei	CL:0002211	type I muscle cell	
Gastrocnemius	Myonuclei	Type2A_Myonuclei	CL:0002214	type IIa muscle cell	
Gastrocnemius	Myonuclei	Type2B_Myonuclei	CL:0002215	type IIb muscle cell	
Gastrocnemius	Myonuclei	Type2X_Myonuclei	CL:0002212	type II muscle cell	
GonadsFemale	Adipocyte	Adipocyte	CL:0000136	fat cell	
GonadsFemale	Endothelial	Ciliated_endothelial	CL:4030007	fallopian tube ciliated cell	
GonadsFemale	Endocrine_theca	Endocrine_theca	CL:0000503	theca cell	
GonadsFemale	Endothelial	Endothelial	CL:0000115	endothelial cell	
GonadsFemale	Epithelial	Epithelial	CL:2000064	ovarian surface epithelial cell	Or just CL:0000066 epithelial cell?
GonadsFemale	Granulosa	Granulosa	CL:0000501	granulosa cell	
GonadsFemale	Immune	Macrophage	CL:0000235	macrophage	
GonadsFemale	Endothelial	Lymphatic_endothelial	CL:0002138	endothelial cell of lymphatic vessel	
GonadsFemale	Oocyte	Oocyte	CL:0000023	oocyte	
GonadsFemale	Pericyte	Pericyte	CL:0000669	pericyte	
GonadsFemale	Endothelial	Secretory_endothelial	CL:4030006	fallopian tube secretory epithelial cell	
GonadsFemale	Smooth_muscle	Smooth_muscle	CL:0000192	smooth muscle cell	
